journey_pk,start_iso,end_iso,duration_min,distance_km,temp_c,condition,wind_kph,is_daylight
341,2026-03-26T06:07:27.998228,2026-03-26T06:13:46.000704,6.3,2.475,,,,
345,2026-03-26T06:13:47.089538,2026-03-26T07:21:41.999433,67.9,11.210,12.2,partlyCloudy,10.5,0
346,2026-03-26T07:21:43.999424,2026-03-26T07:40:09.999601,18.4,14.911,12.5,mostlyClear,11.3,0
349,2026-03-26T17:08:58.895909,2026-03-26T17:12:11.999492,3.2,0.300,,,,
351,2026-03-26T17:12:52.329725,2026-03-26T17:21:34.000216,8.7,0.897,,,,
354,2026-03-26T17:27:20.230536,2026-03-26T17:57:29.000441,30.1,12.217,,,,
357,2026-03-26T18:14:00.998977,2026-03-26T18:43:01.000202,29.0,10.641,,,,
359,2026-03-26T19:47:55.000071,2026-03-26T19:58:18.000665,10.4,2.501,,,,
361,2026-03-26T20:27:24.825330,2026-03-26T20:42:23.000032,15.0,5.322,,,,
363,2026-03-26T20:48:23.222410,2026-03-26T21:18:21.999356,30.0,7.997,21.9,windy,26.1,1
367,2026-03-26T21:33:02.000374,2026-03-26T22:56:04.999225,83.0,31.532,22.2,mostlyCloudy,24.1,1
367,2026-03-26T21:33:02.000374,2026-03-26T22:56:04.999225,83.0,31.532,22.2,partlyCloudy,22.8,1
367,2026-03-26T21:33:02.000374,2026-03-26T22:56:04.999225,83.0,31.532,22.0,cloudy,22.9,1
370,2026-03-27T03:39:48.844681,2026-03-27T03:41:47.998819,2.0,0.174,,,,
381,2026-03-27T04:37:38.001995,2026-03-27T04:48:34.998925,10.9,4.722,14.5,rain,14.8,0
384,2026-03-27T14:13:40.984199,2026-03-27T14:51:40.001534,38.0,11.426,3.4,cloudy,15.6,1
386,2026-03-27T17:00:46.834249,2026-03-27T17:11:50.999464,11.1,3.157,,,,
388,2026-03-27T17:13:09.515551,2026-03-27T18:19:24.000245,66.2,11.416,6.4,cloudy,10.8,1
391,2026-03-27T19:13:53.486176,2026-03-27T19:34:07.000383,20.2,7.091,,,,
396,2026-03-27T23:49:17.656688,2026-03-27T23:54:21.999828,5.1,1.300,,,,
398,2026-03-27T23:57:56.068594,2026-03-28T00:05:35.999715,7.7,1.398,,,,
401,2026-03-28T00:12:03.016391,2026-03-28T00:20:07.999820,8.1,4.416,4.1,partlyCloudy,18.6,0
403,2026-03-28T01:41:21.028570,2026-03-28T01:49:18.999508,8.0,1.851,1.1,clear,14.9,0
407,2026-03-28T02:07:16.110387,2026-03-28T02:17:14.999088,10.0,3.356,,,,
409,2026-03-28T05:14:57.999539,2026-03-28T05:32:45.000279,17.8,8.502,,,,
413,2026-03-28T05:33:48.083407,2026-03-28T05:46:36.999308,12.8,8.861,,,,
415,2026-03-28T05:55:11.420354,2026-03-28T06:00:42.998975,5.5,1.564,-1.6,clear,10.9,0
417,2026-03-28T06:00:43.998983,2026-03-28T06:47:25.000355,46.7,11.337,-1.8,clear,11.3,0
417,2026-03-28T06:00:43.998983,2026-03-28T06:47:25.000355,46.7,11.337,-1.4,clear,10.7,0
419,2026-03-28T07:27:02.899646,2026-03-28T07:41:08.000091,14.1,7.262,,,,
420,2026-03-28T07:41:09.000093,2026-03-28T14:20:07.308248,399.0,22.342,-2.2,mostlyClear,10.6,0
420,2026-03-28T07:41:09.000093,2026-03-28T14:20:07.308248,399.0,22.342,-2.3,mostlyClear,9.8,0
422,2026-03-28T16:11:11.220315,2026-03-28T16:33:34.999387,22.4,6.492,,,,
423,2026-03-28T17:13:36.365325,2026-03-28T18:09:14.999062,55.6,16.452,2.5,cloudy,15.0,1
423,2026-03-28T17:13:36.365325,2026-03-28T18:09:14.999062,55.6,16.452,2.8,cloudy,14.2,1
425,2026-03-28T18:55:49.494049,2026-03-28T19:08:36.093434,12.8,3.796,,,,
427,2026-03-28T19:08:36.093434,2026-03-28T19:52:23.000044,43.8,17.685,,,,
432,2026-03-28T20:18:45.999901,2026-03-28T20:34:54.998924,16.1,4.804,5.6,clear,14.2,1
432,2026-03-28T20:18:45.999901,2026-03-28T20:34:54.998924,16.1,4.804,5.3,clear,14.1,1
433,2026-03-28T20:36:56.110118,2026-03-28T20:53:33.000757,16.6,5.886,,,,
436,2026-03-29T01:00:25.999037,2026-03-29T01:18:30.999536,18.1,8.937,,,,
438,2026-03-29T01:32:01.736253,2026-03-29T01:34:02.999408,2.0,0.572,,,,
440,2026-03-29T12:48:23.366229,2026-03-29T12:50:53.999402,2.5,0.575,,,,
442,2026-03-29T12:53:39.870778,2026-03-29T13:57:56.999396,64.3,34.293,4.7,cloudy,8.4,1
443,2026-03-29T18:24:34.001523,2026-03-29T18:33:05.000426,8.5,2.521,14.3,partlyCloudy,15.3,1
445,2026-03-29T18:33:17.000401,2026-03-29T19:11:41.000049,38.4,16.298,14.6,mostlyCloudy,16.5,1
445,2026-03-29T18:33:17.000401,2026-03-29T19:11:41.000049,38.4,16.298,15.3,mostlyCloudy,16.2,1
448,2026-03-29T19:54:26.364327,2026-03-29T20:43:04.999395,48.6,22.387,,,,
450,2026-03-29T20:47:13.541689,2026-03-29T23:20:51.928971,153.6,1.261,13.9,cloudy,8.7,1
452,2026-03-29T23:21:04.998296,2026-03-29T23:28:38.000069,7.6,1.680,,,,
455,2026-03-29T23:45:04.012017,2026-03-30T00:03:15.999279,18.2,5.279,,,,
457,2026-03-30T00:03:16.999274,2026-03-30T00:18:15.000402,15.0,3.030,,,,
460,2026-03-30T00:46:05.999040,2026-03-30T00:59:04.999048,13.0,3.459,,,,
462,2026-03-30T01:14:13.426739,2026-03-30T01:46:29.999433,32.3,5.444,12.5,cloudy,7.5,0
465,2026-03-30T02:20:51.598652,2026-03-30T02:26:37.998864,5.8,2.134,,,,
467,2026-03-30T03:00:59.118951,2026-03-30T03:15:10.000697,14.2,4.793,11.6,cloudy,6.7,0
469,2026-03-30T04:50:22.788712,2026-03-30T05:16:06.000394,25.7,14.178,10.0,partlyCloudy,7.6,0
473,2026-03-30T05:18:56.002102,2026-03-30T05:37:03.999401,18.1,8.921,,,,
475,2026-03-30T05:44:04.448934,2026-03-30T12:45:46.424298,421.7,0.617,9.4,mostlyCloudy,8.2,0
477,2026-03-30T15:06:50.570255,2026-03-30T15:22:50.000903,16.0,3.164,,,,
479,2026-03-30T15:22:55.000892,2026-03-30T16:53:32.999602,90.6,11.935,17.9,cloudy,22.9,1
481,2026-03-30T16:53:32.999602,2026-03-30T17:42:59.999789,49.5,11.956,19.0,cloudy,23.5,1
483,2026-03-30T17:57:29.292313,2026-03-30T18:07:02.000293,9.5,2.040,19.2,cloudy,23.7,1
485,2026-03-30T19:59:44.955859,2026-03-30T20:25:10.000531,25.4,7.495,,,,
487,2026-03-30T23:11:30.998736,2026-03-30T23:15:45.999536,4.3,1.563,18.6,cloudy,13.7,1
489,2026-03-30T23:17:49.983477,2026-03-30T23:24:48.000021,7.0,1.443,,,,
493,2026-03-30T23:35:51.935574,2026-03-30T23:49:01.999586,13.2,2.952,,,,
494,2026-03-31T00:29:14.501039,2026-03-31T00:35:04.999848,5.8,2.815,17.7,mostlyCloudy,12.7,0
